sales_line_id,date_key,entity_id,customer_id,product_id,channel_id,qty,net_unit_price,net_amount,cogs_amount,currency
104,20250624,2,620,1,4,1,2112.24,2112.24,663.69,EUR
105,20240522,1,301,3,1,2,4023.38,8046.76,3039.57,CZK
106,20250426,2,262,1,2,3,1527.87,4583.62,1889.89,EUR
107,20240802,2,219,1,1,3,2166.38,6499.13,2018.56,EUR
108,20250816,1,872,2,1,1,2965.49,2965.49,834.48,CZK
109,20250822,1,818,4,1,2,271.1,542.2,240.33,CZK
110,20250414,1,1008,4,2,2,189.89,379.77,204.63,CZK
111,20251211,2,959,5,4,1,166.1,166.1,79.63,EUR
112,20250207,2,128,1,3,1,1386.79,1386.79,643.87,EUR
113,20240119,1,1175,1,1,2,1407.77,2815.55,1301.54,CZK
114,20250331,2,26,4,1,3,207.81,623.42,316.98,EUR
115,20250807,1,395,4,2,3,233.6,700.79,298.22,CZK
116,20240316,1,249,4,3,1,190.24,190.24,106.72,CZK
117,20240319,2,835,6,1,3,559.22,1677.66,943.75,EUR
118,20240724,2,1179,3,3,3,4473.14,13419.43,4311.55,EUR
119,20250926,1,525,4,3,3,200.8,602.41,316.92,CZK
120,20250131,2,642,1,3,1,1386.0,1386.0,586.38,EUR
121,20260103,2,705,1,1,1,1507.3,1507.3,615.03,EUR
122,20251017,2,278,1,1,1,1753.96,1753.96,575.14,EUR
123,20250220,2,561,2,1,1,2104.35,2104.35,958.75,EUR
124,20250524,1,1053,2,1,1,2444.21,2444.21,821.38,CZK
125,20240905,1,991,4,1,1,212.73,212.73,111.99,CZK
126,20240308,1,264,2,1,1,2498.66,2498.66,949.52,CZK
127,20241026,1,845,2,2,3,2012.09,6036.26,2395.96,CZK
128,20250320,1,1170,4,1,2,212.68,425.35,198.15,CZK
129,20240516,1,112,1,1,1,1657.55,1657.55,655.97,CZK
130,20240615,1,241,3,1,1,4940.95,4940.95,1336.89,CZK
131,20240112,1,790,5,2,1,110.03,110.03,74.51,CZK
132,20250705,1,1111,1,3,1,1999.36,1999.36,586.36,CZK
133,20251106,1,1148,1,1,3,1710.97,5132.91,1706.04,CZK
134,20250913,1,772,2,3,3,2249.99,6749.96,2450.94,CZK
135,20241012,1,766,1,1,2,1727.81,3455.62,1243.72,CZK
136,20250321,1,315,2,3,2,2199.38,4398.75,1772.25,CZK
137,20251222,2,81,3,1,3,4753.69,14261.07,4409.19,EUR
138,20250320,2,917,1,1,2,1727.67,3455.34,1149.32,EUR
139,20240810,1,1094,2,2,3,2585.52,7756.56,2460.12,CZK
140,20240911,2,581,1,2,1,1583.17,1583.17,626.14,EUR
141,20250630,2,1061,1,1,2,2234.92,4469.83,1274.86,EUR
142,20241201,1,203,4,1,3,240.15,720.46,348.22,CZK
143,20250920,1,163,4,2,1,178.75,178.75,102.93,CZK
144,20251010,1,243,6,1,1,558.37,558.37,323.49,CZK
145,20240127,1,456,1,1,3,1431.7,4295.11,1912.69,CZK
146,20250627,2,717,1,1,3,2120.66,6361.99,1888.03,EUR
147,20241004,1,851,1,1,2,1796.58,3593.16,1157.47,CZK
148,20250125,2,1194,1,4,2,1440.83,2881.66,1243.48,EUR
149,20240717,1,1186,6,2,1,639.9,639.9,275.29,CZK
150,20241003,2,774,2,2,1,2107.29,2107.29,818.83,EUR
151,20240905,1,682,3,2,2,3495.07,6990.14,3090.09,CZK
152,20240207,1,382,2,1,2,2094.15,4188.31,1658.52,CZK
153,20250810,1,888,1,1,1,2224.25,2224.25,589.54,CZK
154,20240417,1,476,5,1,1,147.32,147.32,73.64,CZK
155,20241009,1,281,3,2,2,3589.23,7178.45,2738.67,CZK
156,20240524,2,505,1,2,3,1570.62,4711.86,1882.96,EUR
157,20240430,1,45,6,2,2,521.0,1041.99,646.1,CZK
158,20241007,1,611,6,2,3,517.5,1552.51,878.79,CZK
159,20251120,1,1080,5,1,1,144.01,144.01,81.79,CZK
160,20251210,1,988,6,1,3,649.08,1947.25,844.46,CZK
161,20241013,1,807,5,3,3,136.35,409.05,215.79,CZK
162,20250114,1,539,3,3,3,3248.41,9745.23,4325.54,CZK
163,20260110,2,91,1,2,2,1272.2,2544.39,1195.5,EUR
164,20240625,1,93,4,1,1,262.02,262.02,110.51,CZK
165,20251210,2,351,2,3,1,2537.27,2537.27,919.11,EUR
166,20240320,1,612,1,2,2,1500.46,3000.92,1151.81,CZK
167,20240618,1,1109,2,2,1,2629.07,2629.07,849.37,CZK
168,20240911,1,321,4,2,3,176.35,529.06,299.63,CZK
169,20240128,1,11,3,2,1,2909.43,2909.43,1549.96,CZK
170,20250904,1,779,1,2,3,1502.95,4508.86,1810.88,CZK
171,20251004,1,1094,4,1,2,212.39,424.78,237.56,CZK
172,20241014,1,631,1,2,1,1503.17,1503.17,640.46,CZK
173,20250920,2,325,4,2,1,180.12,180.12,102.86,EUR
174,20250803,2,967,3,1,1,4850.88,4850.88,1479.19,EUR
175,20250824,1,518,2,1,3,2883.47,8650.41,2823.8,CZK
176,20250825,1,968,1,2,1,1803.66,1803.66,569.86,CZK
177,20250306,1,721,1,1,3,1781.04,5343.13,1755.86,CZK
178,20240324,1,885,1,1,3,1693.06,5079.17,1892.26,CZK
179,20251124,1,653,4,3,2,194.22,388.45,228.4,CZK
180,20250402,1,103,4,2,2,184.83,369.67,221.26,CZK
181,20251107,2,54,1,2,2,1462.69,2925.38,1280.24,EUR
182,20251221,1,86,3,2,1,4100.47,4100.47,1435.55,CZK
183,20240520,2,307,5,2,1,123.63,123.63,82.08,EUR
184,20241029,2,143,2,1,1,2393.2,2393.2,817.08,EUR
185,20240524,1,886,4,1,3,203.37,610.11,332.74,CZK
186,20240208,1,638,3,3,2,3277.77,6555.54,3108.32,CZK
187,20251226,1,1129,4,3,2,212.92,425.85,225.43,CZK
188,20251124,1,856,2,1,1,2470.5,2470.5,939.64,CZK
189,20251130,1,850,2,3,2,2269.4,4538.8,1780.3,CZK
190,20251025,1,1153,1,1,3,1684.32,5052.96,1972.21,CZK
191,20250502,1,374,1,3,3,1631.67,4895.02,1998.28,CZK
192,20250127,1,66,1,1,1,1433.07,1433.07,652.46,CZK
193,20260114,1,245,2,1,3,2088.43,6265.3,2663.68,CZK
194,20250218,2,17,2,1,3,2045.73,6137.2,2583.11,EUR
195,20250427,2,22,4,2,2,180.92,361.84,230.62,EUR
196,20240608,2,882,1,2,1,1835.57,1835.57,634.97,EUR
197,20250714,1,1175,2,2,2,2543.67,5087.33,1826.25,CZK
198,20250907,1,728,5,4,1,139.22,139.22,80.82,CZK
199,20250524,1,1085,1,1,2,1784.95,3569.91,1214.16,CZK
200,20250109,2,1199,2,2,3,1845.88,5537.64,2504.05,EUR
201,20240528,1,1037,1,1,3,1794.87,5384.62,1956.65,CZK
202,20240126,1,178,1,2,2,1292.95,2585.9,1279.78,CZK
203,20250416,2,896,6,1,1,592.24,592.24,311.63,EUR
204,20250527,1,260,6,4,1,556.62,556.62,312.07,CZK
205,20250803,2,369,1,3,1,2003.88,2003.88,663.98,EUR
206,20251214,1,515,1,4,2,1916.38,3832.76,1207.87,CZK
207,20250108,1,200,5,3,3,113.56,340.67,211.62,CZK
208,20250914,2,894,3,3,1,3596.48,3596.48,1339.75,EUR
209,20250621,1,373,4,1,2,261.69,523.38,221.57,CZK
210,20240727,1,950,2,1,1,2945.59,2945.59,888.16,CZK
211,20250926,1,5,4,1,1,211.64,211.64,106.65,CZK
212,20240210,1,318,1,4,3,1506.33,4518.98,1924.27,CZK
213,20250325,1,1112,3,2,2,3486.95,6973.9,3218.16,CZK
214,20251207,1,388,6,1,1,650.64,650.64,314.34,CZK
215,20250509,1,485,5,2,1,126.73,126.73,73.87,CZK
216,20251204,1,1100,5,2,1,150.65,150.65,80.26,CZK
217,20240212,1,970,1,4,2,1493.94,2987.88,1282.8,CZK
218,20250203,1,1139,6,2,1,419.74,419.74,323.8,CZK
219,20250809,2,37,3,3,2,4813.64,9627.29,2888.34,EUR
220,20250427,1,394,2,3,1,2273.07,2273.07,950.38,CZK
221,20251023,1,644,4,3,3,194.13,582.38,330.87,CZK
222,20241213,1,919,2,1,1,2797.12,2797.12,808.72,CZK
223,20250527,1,771,6,1,1,590.84,590.84,314.57,CZK
224,20241111,1,324,2,3,1,2280.91,2280.91,837.19,CZK
225,20251016,2,448,5,3,3,136.63,409.89,214.14,EUR
226,20240330,1,451,2,1,1,2454.61,2454.61,949.03,CZK
227,20240709,2,1037,3,1,3,4979.84,14939.52,4237.54,EUR
228,20240313,1,943,3,3,1,3772.65,3772.65,1583.26,CZK
229,20250611,2,704,4,1,3,265.13,795.39,361.46,EUR
230,20240623,2,1153,1,2,1,1866.47,1866.47,584.32,EUR
231,20240826,2,1119,2,4,2,3084.2,6168.4,1856.87,EUR
232,20250920,1,544,1,3,1,1544.45,1544.45,656.08,CZK
233,20240927,1,684,1,1,2,1779.02,3558.04,1175.7,CZK
234,20240419,1,481,4,4,3,202.5,607.51,362.52,CZK
235,20240116,1,1163,1,1,2,1477.11,2954.21,1138.43,CZK
236,20240619,1,163,4,3,3,242.34,727.03,334.44,CZK
237,20251117,2,913,1,1,1,1767.97,1767.97,647.46,EUR
238,20250216,1,421,3,1,3,3493.17,10479.52,4650.31,CZK
239,20260117,1,194,3,1,3,3367.69,10103.06,4485.62,CZK
240,20240610,2,987,2,2,3,2707.89,8123.66,2734.51,EUR
241,20240920,1,214,4,2,2,180.28,360.55,219.14,CZK
242,20240502,2,693,2,3,1,2225.46,2225.46,941.3,EUR
243,20241026,2,1198,4,1,2,205.41,410.82,211.2,EUR
244,20250227,1,930,6,4,3,496.77,1490.3,975.67,CZK
245,20250829,1,889,3,1,3,5073.5,15220.49,4236.54,CZK
246,20241003,2,89,6,1,3,565.83,1697.48,868.23,EUR
247,20250802,1,867,3,1,1,5044.44,5044.44,1550.73,CZK
248,20250415,2,536,4,1,1,217.77,217.77,101.45,EUR
249,20240807,1,681,2,4,2,3103.96,6207.93,1721.08,CZK
250,20251116,1,275,5,1,1,141.06,141.06,69.38,CZK
251,20241122,1,55,1,1,1,1770.88,1770.88,574.85,CZK
252,20240423,1,223,1,1,2,1795.1,3590.19,1303.84,CZK
253,20251223,1,1035,1,3,3,1817.34,5452.01,1872.11,CZK
254,20251116,1,661,6,2,3,514.89,1544.66,959.76,CZK
255,20240207,1,79,1,1,1,1500.52,1500.52,585.26,CZK
256,20251108,1,743,4,1,3,203.41,610.23,304.31,CZK
257,20251212,2,925,2,2,3,2523.99,7571.98,2431.57,EUR
258,20250914,1,623,1,4,3,1697.39,5092.17,2035.81,CZK
259,20240710,1,76,4,2,3,239.64,718.93,298.11,CZK
260,20250419,1,639,4,1,1,215.04,215.04,112.62,CZK
261,20250208,1,1090,1,1,1,1524.86,1524.86,578.0,CZK
262,20250410,1,658,1,1,1,1726.1,1726.1,591.55,CZK
263,20250407,2,715,1,2,1,1443.35,1443.35,652.65,EUR
264,20250425,1,869,3,1,1,3963.54,3963.54,1584.39,CZK
265,20250121,2,153,3,1,1,3410.17,3410.17,1461.51,EUR
266,20250602,2,354,4,1,2,270.79,541.58,216.57,EUR
267,20250130,2,1171,1,1,1,1518.39,1518.39,605.24,EUR
268,20240113,1,1044,4,1,3,185.44,556.33,345.77,CZK
269,20240127,1,501,1,3,3,1395.14,4185.41,1964.49,CZK
270,20251220,1,714,2,2,3,2444.35,7333.04,2417.36,CZK
271,20251113,1,132,5,3,2,132.72,265.44,163.0,CZK
272,20250315,1,274,4,1,1,204.05,204.05,118.93,CZK
273,20240511,1,901,2,1,3,2440.95,7322.84,2719.45,CZK
274,20250809,1,1141,5,1,1,174.45,174.45,78.8,CZK
275,20240417,1,616,5,1,2,149.71,299.42,164.57,CZK
276,20241010,1,985,1,2,3,1459.8,4379.39,1744.23,CZK
277,20240904,1,906,2,1,3,2324.9,6974.71,2531.96,CZK
278,20240110,1,729,2,3,2,1898.88,3797.76,1827.4,CZK
279,20250829,1,976,4,2,2,224.52,449.04,232.26,CZK
280,20250117,1,609,1,1,3,1492.34,4477.01,1786.05,CZK
281,20240825,1,148,3,3,2,4622.97,9245.94,2931.17,CZK
282,20250115,2,1075,4,2,3,160.24,480.73,357.97,EUR
283,20240101,1,1148,2,1,3,1960.47,5881.42,2776.27,CZK
284,20241124,2,664,4,3,2,198.57,397.14,215.29,EUR
285,20250125,1,430,2,2,2,1753.81,3507.62,1885.76,CZK
286,20240912,1,549,5,2,3,129.01,387.03,205.63,CZK
287,20250915,1,671,1,1,2,1700.91,3401.82,1162.05,CZK
288,20240706,2,1167,4,2,3,235.14,705.43,320.9,EUR
289,20240413,2,648,4,1,3,213.38,640.13,325.71,EUR
290,20250131,1,507,1,4,1,1521.96,1521.96,633.98,CZK
291,20251028,1,399,2,2,3,2132.19,6396.56,2560.16,CZK
292,20241008,2,934,4,3,1,186.96,186.96,110.06,EUR
293,20240205,1,526,1,2,3,1242.96,3728.88,1873.21,CZK
294,20251229,1,61,1,3,2,1824.63,3649.25,1195.85,CZK
295,20241129,2,958,2,2,3,2150.28,6450.85,2658.18,EUR
296,20240509,1,766,1,2,3,1470.98,4412.95,1960.86,CZK
297,20250407,2,471,3,2,2,3561.9,7123.79,2910.89,EUR
298,20240828,2,1160,2,4,3,2897.37,8692.1,2396.76,EUR
299,20251205,2,886,5,1,1,163.33,163.33,73.27,EUR
300,20240808,1,1190,4,1,2,258.3,516.59,216.87,CZK
301,20250217,1,381,2,2,2,1738.38,3476.77,1874.12,CZK
302,20250212,1,711,2,1,3,2065.1,6195.3,2406.67,CZK
303,20240701,1,9,3,3,3,4621.48,13864.45,4506.54,CZK
304,20250109,1,929,1,3,3,1303.7,3911.1,1897.86,CZK
305,20240322,1,733,1,1,1,1690.58,1690.58,674.78,CZK
306,20250428,2,200,3,4,3,4197.16,12591.48,3985.42,EUR
307,20250723,1,855,2,2,2,2651.35,5302.71,1832.25,CZK
308,20251214,1,515,1,2,2,1821.36,3642.72,1173.24,CZK
309,20240901,2,204,1,1,3,1689.33,5067.98,1763.93,EUR
310,20240802,1,1010,2,2,1,2722.43,2722.43,922.46,CZK
311,20250216,1,250,2,1,1,2023.48,2023.48,804.16,CZK
312,20250604,2,151,5,1,2,175.67,351.34,141.13,EUR
313,20260115,1,585,5,3,1,111.88,111.88,78.48,CZK
314,20240119,1,974,4,4,3,179.77,539.3,326.52,CZK
315,20240627,2,259,4,1,1,255.21,255.21,100.94,EUR
316,20240716,1,914,6,2,3,640.24,1920.72,812.1,CZK
317,20240710,2,876,1,1,3,2176.49,6529.48,1711.12,EUR
318,20241214,2,240,4,1,1,246.33,246.33,114.9,EUR
319,20251017,1,751,2,1,2,2449.92,4899.85,1622.72,CZK
320,20240124,2,994,4,1,3,174.2,522.59,318.96,EUR
321,20250904,1,129,1,4,3,1656.08,4968.23,1975.48,CZK
322,20250408,1,1061,1,2,2,1502.74,3005.48,1357.05,CZK
323,20250407,1,438,4,2,2,180.56,361.12,239.84,CZK
324,20250524,1,1019,5,2,3,127.91,383.74,238.87,CZK
325,20240327,1,567,4,1,3,215.31,645.93,323.68,CZK
326,20250714,1,999,1,1,3,2234.3,6702.91,1984.0,CZK
327,20240705,1,132,6,4,2,718.09,1436.18,610.34,CZK
328,20250122,1,153,4,2,3,162.19,486.58,319.77,CZK
329,20250523,1,666,2,1,1,2436.28,2436.28,961.67,CZK
330,20250329,2,490,6,1,1,555.41,555.41,303.29,EUR
331,20240830,2,19,1,1,1,2110.46,2110.46,649.72,EUR
332,20241024,1,192,3,3,2,3861.45,7722.89,2778.45,CZK
333,20241223,1,835,1,2,1,1677.09,1677.09,638.6,CZK
334,20240131,1,634,2,1,2,2106.51,4213.03,1591.56,CZK
335,20250629,1,121,2,3,3,2796.59,8389.76,2369.81,CZK
336,20240316,1,408,1,1,1,1733.34,1733.34,676.53,CZK
337,20241210,2,613,4,3,3,224.99,674.97,313.98,EUR
338,20250506,1,90,3,2,1,3369.24,3369.24,1557.97,CZK
339,20240301,2,940,4,3,1,187.46,187.46,102.78,EUR
340,20260117,2,283,1,3,1,1350.66,1350.66,574.2,EUR
341,20241010,1,210,2,1,3,2357.19,7071.57,2767.73,CZK
342,20240112,2,1084,1,1,1,1422.1,1422.1,653.57,EUR
343,20250509,1,353,1,3,2,1637.41,3274.81,1281.43,CZK
344,20250222,2,1197,2,3,2,1858.85,3717.7,1910.13,EUR
345,20250425,1,582,2,1,2,2411.51,4823.01,1644.27,CZK
346,20250718,1,481,5,2,2,157.11,314.22,146.12,CZK
347,20241223,1,589,4,1,2,233.83,467.66,241.9,CZK
348,20250912,1,113,1,3,1,1533.85,1533.85,574.99,CZK
349,20241004,2,1095,2,3,3,2128.32,6384.96,2494.77,EUR
350,20250213,2,383,2,2,3,1774.57,5323.71,2819.09,EUR
351,20240429,1,286,5,4,3,148.1,444.29,219.32,CZK
352,20250410,2,733,1,1,1,1765.72,1765.72,595.61,EUR
353,20240715,1,665,4,1,3,271.01,813.02,352.43,CZK
354,20250607,1,195,2,1,2,2930.99,5861.98,1745.17,CZK
355,20250824,1,480,1,1,2,2124.27,4248.53,1203.98,CZK
356,20251007,2,920,1,1,1,1703.49,1703.49,645.65,EUR
357,20251128,1,879,3,1,1,3900.69,3900.69,1501.58,CZK
358,20240401,1,560,3,2,3,3414.85,10244.54,4189.89,CZK
359,20240413,1,759,4,1,3,204.69,614.08,320.83,CZK
360,20251126,2,234,6,2,2,511.67,1023.34,648.67,EUR
361,20241013,1,439,1,1,1,1706.79,1706.79,671.89,CZK
362,20240120,1,764,2,1,1,1968.13,1968.13,853.78,CZK
363,20240803,1,1119,2,2,3,2608.39,7825.18,2499.46,CZK
364,20250919,1,200,5,2,3,127.54,382.63,232.86,CZK
365,20240923,1,707,4,3,3,187.76,563.28,346.33,CZK
366,20240227,2,834,1,1,2,1421.29,2842.59,1192.32,EUR
367,20250626,1,447,2,3,1,2795.11,2795.11,889.74,CZK
368,20240526,2,877,1,3,2,1596.04,3192.08,1332.14,EUR
369,20240921,2,112,5,2,1,129.02,129.02,74.16,EUR
370,20240103,1,910,6,1,1,502.93,502.93,285.63,CZK
371,20250328,1,803,6,1,3,556.53,1669.59,879.08,CZK
372,20241130,1,755,1,1,1,1781.86,1781.86,634.68,CZK
373,20251013,1,754,4,1,1,219.85,219.85,103.09,CZK
374,20240908,1,335,4,1,3,202.44,607.33,338.81,CZK
375,20240602,1,525,2,3,3,2863.16,8589.49,2526.93,CZK
376,20240504,2,529,6,1,3,587.0,1761.01,846.69,EUR
377,20240530,2,782,3,1,3,4075.63,12226.9,4614.76,EUR
378,20241204,1,855,1,3,2,1879.35,3758.7,1373.88,CZK
379,20240306,2,44,1,1,1,1748.17,1748.17,674.31,EUR
380,20241029,2,769,1,1,3,1747.23,5241.7,1923.68,EUR
381,20251003,1,535,5,1,2,143.43,286.86,158.14,CZK
382,20250730,1,773,2,3,3,2661.68,7985.05,2809.78,CZK
383,20250423,2,661,1,1,3,1712.1,5136.3,1888.85,EUR
384,20251101,2,112,1,2,2,1447.76,2895.53,1362.34,EUR
385,20250808,1,265,1,3,3,1969.17,5907.5,1864.07,CZK
386,20250505,2,136,4,1,3,203.54,610.62,330.11,EUR
387,20251010,1,738,2,1,2,2469.71,4939.41,1844.72,CZK
388,20240403,1,990,1,4,1,1768.67,1768.67,594.66,CZK
389,20250906,2,158,1,1,2,1666.97,3333.95,1149.99,EUR
390,20240809,2,426,1,2,2,1837.11,3674.22,1185.61,EUR
391,20250704,1,1014,1,3,2,1901.06,3802.12,1199.51,CZK
392,20251116,1,193,2,3,3,2289.46,6868.39,2811.82,CZK
393,20250107,1,146,2,1,1,1972.53,1972.53,796.02,CZK
394,20240307,1,986,2,3,3,2129.4,6388.19,2838.48,CZK
395,20241005,2,1179,2,1,3,2449.55,7348.66,2737.52,EUR
396,20241101,1,193,4,3,1,186.63,186.63,99.25,CZK
397,20251204,2,808,2,3,2,2483.63,4967.26,1774.25,EUR
398,20251208,1,98,2,2,2,2420.81,4841.62,1842.68,CZK
399,20250302,1,70,3,2,3,3587.85,10763.55,4498.46,CZK
400,20251214,1,215,4,2,2,204.12,408.24,219.51,CZK
401,20241123,2,980,3,1,3,4172.16,12516.47,4017.57,EUR
402,20241104,1,1056,5,1,1,148.47,148.47,82.11,CZK
403,20250920,1,593,2,1,1,2494.89,2494.89,821.47,CZK
404,20250516,1,1187,2,1,2,2302.12,4604.25,1610.29,CZK
405,20250127,1,745,5,2,1,105.35,105.35,78.37,CZK
406,20241209,1,42,1,1,2,1999.89,3999.79,1235.51,CZK
407,20250613,2,275,6,1,3,737.59,2212.76,965.1,EUR
408,20250719,2,1118,3,2,3,4487.31,13461.93,4159.73,EUR
409,20250103,1,136,2,2,3,1853.46,5560.37,2565.34,CZK
